handle,title,vendor,year_source,years,variant_titles,desc_context,admin_url
saint-george-malbec-wine-makers-selection,Saint George | Malbec - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/8061012803831
saint-george-marselan-wine-maker-selection,Saint George | Marselan - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,"1961,1996",75cl,"… of Cabernet Sauvignon and Grenache, bred in 1961 and still rare. Quick Facts Grape: 100% Mars…",https://admin.shopify.com/store/drynksapp/products/6662885277849
saint-george-merlot,Saint George | Merlot,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/5260176162969
saint-george-merlot-winemakers-selection,Saint George | Merlot - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/8406419800311
saint-george-merlot-barbera-wine-maker-selection,Saint George | Merlot Barbera - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/6662882328729
saint-george-muscat,Saint George | Muscat,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/5260179538073
saint-george-nero-d-avola-winemakers-selection,Saint George | Nero d'Avola - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/8406419439863
saint-george-petit-verdot-wine-maker-selection,Saint George | Petit Verdot - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/6662877347993
saint-george-pinot-grigio-terroir-expression,Saint George | Pinot Grigio - Terroir Expression,Bulos Y Zumot & Co. L.L.C,description,1996,50cl | 75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/8406424191223
saint-george-pinot-noir,Saint George | Pinot Noir,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/7455274238199
saint-george-pinot-noir-winemakers-selection,Saint George | Pinot Noir - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/8406419177719
saint-george-red-blend,Saint George | Red Blend,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/8406423077111
saint-george-reserve-cabernet-sauvignon,Saint George | Reserve Cabernet Sauvignon,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/8406417015031
saint-george-reserve-petit-syrah,Saint George | Reserve Petit Syrah,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/6580451082393
saint-george-reserve-shiraz,Saint George | Reserve Shiraz,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/8406417801463
saint-george-rose,Saint George | Rosé,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/6942281924761
st-g-terroir-expression-sangiovese,Saint George | Sangiovese - Terroir Expression,Bulos Y Zumot & Co. L.L.C,description,"1996,2019",50cl,…Awarded Silver at the China Wine Competition 2019. Quick Facts Grape: 100% Sangiovese Origin: …,https://admin.shopify.com/store/drynksapp/products/5376282362009
saint-george-sangiovese-winemakers-selection,Saint George | Sangiovese - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/8406418981111
st-g-terroir-expression-sauv,Saint George | Sauvignon Blanc - Terroir Expression,Bulos Y Zumot & Co. L.L.C,description,1996,50cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/5376280395929
saint-george-wine-makers-selection-sauvingon-blanc,Saint George | Sauvingon Blanc - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/6580366180505
saint-george-shiraz,Saint George | Shiraz,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/5260177047705
st-g-terroir-expression-shiraz,Saint George | Shiraz - Terroir Expression,Bulos Y Zumot & Co. L.L.C,description,1996,50cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/5376271253657
saint-george-wine-makers-selection-shiraz,Saint George | Shiraz - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/6580296024217
saint-george-shiraz-grenache-wine-maker-selection,Saint George | Shiraz Grenache - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/6662884655257
saint-george-sweet-malbec,Saint George | Sweet Malbec - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,50cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/8061011755255
saint-george-wine-makers-selection-sweet-muscat,Saint George | Sweet Muscat - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,50cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/6580421918873
saint-george-touriga-nacional-wine-maker-selection,Saint George | Touriga Nacional - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/6662880821401
saint-george-viognier-winemakers-selection,Saint George | Viognier - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/8406423699703
saint-george-white-blend,Saint George | White Blend,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/9571597123831
vera-vinho-verde-branco,Vera | Vinho Verde Branco,Bulos Y Zumot & Co. L.L.C,description,"1950,1998",75cl,"…state fruit from 104 plots, vines planted in 1998 at 320 metres Soil: Sandy loam over granite …",https://admin.shopify.com/store/drynksapp/products/7701181563127
judith-beck-l-ink,Judith Beck | Beck Ink,Fyxx l Judith Beck,description,2004,75cl,…e Judith Beck took over the family estate in 2004.…,https://admin.shopify.com/store/drynksapp/products/7796717846775
judith-bech-l-pink,Judith Beck | Beck Pink,Fyxx l Judith Beck,description,2004,75cl,…e Judith Beck took over the family estate in 2004.…,https://admin.shopify.com/store/drynksapp/products/7796721484023
judith-beck-l-blaufrankisch,Judith Beck | Blaufränkisch,Fyxx l Judith Beck,description,2004,75cl,…e Judith Beck took over the family estate in 2004.…,https://admin.shopify.com/store/drynksapp/products/7794661687543
judith-beck-l-chardonnay,Judith Beck | Chardonnay,Fyxx l Judith Beck,description,2004,75cl,…e Judith Beck took over the family estate in 2004.…,https://admin.shopify.com/store/drynksapp/products/9663983583479
judith-bech-l-hunny-bunny,Judith Beck | Hunny Bunny,Fyxx l Judith Beck,description,2004,75cl,…e Judith Beck took over the family estate in 2004.…,https://admin.shopify.com/store/drynksapp/products/8065936195831
judith-beck-l-neuburger-bambule,Judith Beck | Neuburger Bambule,Fyxx l Judith Beck,description,2004,75cl,…e Judith Beck took over the family estate in 2004.…,https://admin.shopify.com/store/drynksapp/products/7794671452407
judith-beck-l-gewurztraminer,Judith Beck | Traminer,Fyxx l Judith Beck,description,2004,75cl,…e Judith Beck took over the family estate in 2004.…,https://admin.shopify.com/store/drynksapp/products/7796728430839
judith-beck-l-weissburgunder,Judith Beck | Weissburgunder,Fyxx l Judith Beck,description,2004,75cl,…e Judith Beck took over the family estate in 2004.…,https://admin.shopify.com/store/drynksapp/products/7796738654455
judith-beck-l-zweigelt,Judith Beck | Zweigelt,Fyxx l Judith Beck,description,2004,75cl,…e Judith Beck took over the family estate in 2004.…,https://admin.shopify.com/store/drynksapp/products/7798118056183
cocchi-primosecolo-piemonte-doc-chardonnay,Cocchi | Primosecolo Piemonte DOC Chardonnay,Fyxx | Cocchi,description,1991,75cl,"…, Primosecolo (First Century) was created in 1991 to celebrate Cocchi's 100th anniversary. A h…",https://admin.shopify.com/store/drynksapp/products/7869330358519
heya-kinz-kanz,Heya | Kanz,Fyxx | Heya,description,2022,75cl,"… female-led natural wine project, founded in 2022 by Claudine Lteif and Michelle Chami in the …",https://admin.shopify.com/store/drynksapp/products/9678070677751
heya-ward,Heya | Ward,Fyxx | Heya,description,2022,75cl,"… female-led natural wine project, founded in 2022 by Claudine Lteif and Michelle Chami in the …",https://admin.shopify.com/store/drynksapp/products/9678071038199
la-rioja-alta-el-camino,La Rioja Alta | El Camino,Fyxx | La Rioja Alta,description,2038,75cl,…30 minutes. Will develop beautifully through 2038 and beyond. About the Producer La Rioja Alta…,https://admin.shopify.com/store/drynksapp/products/9861840666871
2019-chateau-tour-des-gendres-vdf-sauvignon-chenin-pet-nat,"Albert de Conti | ""Petillant Naturel""",Fyxx | Les Caves de Pyrene,description,"1925,1996,2009",75cl,…ian family that settled south of Bergerac in 1925. Luc pioneered organic farming in the region…,https://admin.shopify.com/store/drynksapp/products/6822017958041
2018-chateau-tour-des-gendres-bergerac-blanc-cuvee-des-conti-white,Albert de Conti | Cuvée Des Conti Bergerac Blanc,Fyxx | Les Caves de Pyrene,description,"1925,1996,2009",75cl,…ian family that settled south of Bergerac in 1925. Luc pioneered organic farming in the region…,https://admin.shopify.com/store/drynksapp/products/6822016319641
andi-knauss-riesling-reguler-stelvin,Andi Knauss | Riesling,Fyxx | Les Caves de Pyrene,description,2004,75cl,… Stuttgart. Taking over the family estate in 2004 after training in organic viticulture in Aus…,https://admin.shopify.com/store/drynksapp/products/7148327141529
2019-andi-knauss-riesling-schnait,"Andi Knauss | Riesling ""Schnait""",Fyxx | Les Caves de Pyrene,description,2004,75cl,… Stuttgart. Taking over the family estate in 2004 after training in organic viticulture in Aus…,https://admin.shopify.com/store/drynksapp/products/6822051774617
andi-knauss-pinot-noir,Andi Knauss | Spätburgunder Pinot Noir,Fyxx | Les Caves de Pyrene,description,2004,75cl,… Stuttgart. Taking over the family estate in 2004 after training in organic viticulture in Aus…,https://admin.shopify.com/store/drynksapp/products/6992818241689
2018-andi-knauss-trollinger-strumpfelbach,Andi Knauss | Trollinger Strümpfelbach,Fyxx | Les Caves de Pyrene,description,2004,75cl,… Stuttgart. Taking over the family estate in 2004 after training in organic viticulture in Aus…,https://admin.shopify.com/store/drynksapp/products/6822051938457
2019-antonio-camillo-morellino-di-scansano,Antonio Camillo | Morellino Di Scansano,Fyxx | Les Caves de Pyrene,description,2006,75cl,…e Maremma before venturing out on his own in 2006. He works 9 hectares of hillside vineyards n…,https://admin.shopify.com/store/drynksapp/products/6822026838169
antonio-camillo-tutti-bianco,Antonio Camillo | Tutti Bianco,Fyxx | Les Caves de Pyrene,description,2006,70cl,…e Maremma before venturing out on his own in 2006. He works 9 hectares of hillside vineyards n…,https://admin.shopify.com/store/drynksapp/products/7694851440887
2019-antonio-camillo-vermentino,Antonio Camillo | Vermentino,Fyxx | Les Caves de Pyrene,description,2006,75cl,…e Maremma before venturing out on his own in 2006. He works 9 hectares of hillside vineyards n…,https://admin.shopify.com/store/drynksapp/products/6822026444953
bummaru-nerello-mascalese,"Baglio Antico | ""BUMMARU"" Nerello Mascalese",Fyxx | Les Caves de Pyrene,description,1990,75cl,"…Since the Vesco family took ownership in the 1990s and converted to organic farming, the estat…",https://admin.shopify.com/store/drynksapp/products/7869366599927
baglio-antico-bianco-igp-cataratto-nl,Baglio Antico | Cataratto IGP,Fyxx | Les Caves de Pyrene,description,1990,75cl,"…Since the Vesco family took ownership in the 1990s and converted to organic farming, the estat…",https://admin.shopify.com/store/drynksapp/products/7150883504281
baglio-antico-rosso-nero-d-avola,Baglio Antico | Nero d`Avola DOP,Fyxx | Les Caves de Pyrene,description,1990,75cl,"…Since the Vesco family took ownership in the 1990s and converted to organic farming, the estat…",https://admin.shopify.com/store/drynksapp/products/7150884716697
bera-bianchduset-moscato,Bera Vittorio e Figli | Bianchduset Moscato,Fyxx | Les Caves de Pyrene,description,1964,75cl,"… 30-year-old vines, organically farmed since 1964) Style: Oxidative dry white, spontaneous fer…",https://admin.shopify.com/store/drynksapp/products/9616727376119
bera-vittorio-e-figli-ninet,Bera Vittorio e Figli | Ninét,Fyxx | Les Caves de Pyrene,description,1964,75cl,"…ils of ancient oceanic origin, organic since 1964) Style: Naturally sweet, low alcohol, indige…",https://admin.shopify.com/store/drynksapp/products/9973479276791
breton-bourgueil-avis-de-vin-fortified,Breton Bourgueil Avis de Vin,Fyxx | Les Caves de Pyrene,description,"1980,1991,1994",75cl,"…to 1886. Taking over the domaine in the late 1980s, they converted to organic farming in 1991 …",https://admin.shopify.com/store/drynksapp/products/7150864793753
2019-bourgueil-dilettante,Breton Bourgueil La Dilettante,Fyxx | Les Caves de Pyrene,description,"1980,1991,1994",75cl,"…to 1886. Taking over the domaine in the late 1980s, they converted to organic farming in 1991 …",https://admin.shopify.com/store/drynksapp/products/6822015238297
breton-bourgueil-perrieres,Breton Bourgueil Perrieres,Fyxx | Les Caves de Pyrene,description,"1980,1991,1994",75cl,"…to 1886. Taking over the domaine in the late 1980s, they converted to organic farming in 1991 …",https://admin.shopify.com/store/drynksapp/products/7146948526233
2019-bourgueil-trinch,Breton Bourgueil Trinch,Fyxx | Les Caves de Pyrene,description,"1980,1991,1994",75cl,"…to 1886. Taking over the domaine in the late 1980s, they converted to organic farming in 1991 …",https://admin.shopify.com/store/drynksapp/products/6822015041689
2019-vouvray-la-dilettante-sec,Breton Vouvray La Dilettante Sec,Fyxx | Les Caves de Pyrene,description,"1980,1991,1994",75cl,"…to 1886. Taking over the domaine in the late 1980s, they converted to organic farming in 1991 …",https://admin.shopify.com/store/drynksapp/products/6822014845081
2019-zelen-vipava-white,"Burja | ""Bela""",Fyxx | Les Caves de Pyrene,description,2009,75cl,…ja Estate was founded by Primoz Lavrencic in 2009 after inheriting old family vineyards in the…,https://admin.shopify.com/store/drynksapp/products/6822052135065
terre-sicilane-catarratto-igp-ciello,Cantine Rallo | Ciello Bianco Catarratto,Fyxx | Les Caves de Pyrene,description,"1990,2010",75cl,…sala. When the Vesco family took over in the 1990s they pivoted toward certified organic farmi…,https://admin.shopify.com/store/drynksapp/products/6821986369689
terre-sicilane-nero-d-avola-igp-ciello,Cantine Rallo | Ciello Rosso Nero d'Avola,Fyxx | Les Caves de Pyrene,description,"1990,2010",75cl,…sala. When the Vesco family took over in the 1990s they pivoted toward certified organic farmi…,https://admin.shopify.com/store/drynksapp/products/6821986566297
cantine-rallo-maremosso-bianco-catarratto,Cantine Rallo | Maremosso Bianco Catarratto,Fyxx | Les Caves de Pyrene,description,1990,75cl,"…Since the Vesco family took ownership in the 1990s and converted to organic farming, the estat…",https://admin.shopify.com/store/drynksapp/products/9852399321335
cavallotto-barolo-riserva-bricco-boschi,Cavallotto | Barolo Riserva Bricco Boschis Vigna San Giuseppe,Fyxx | Les Caves de Pyrene,description,"1928,1948",75cl,"…o Boschis hill in Castiglione Falletto since 1928, making it one of Barolo's most celebrated m…",https://admin.shopify.com/store/drynksapp/products/7146945642649
christian-binner-elsassisch-is-bombisch-rose-75cl,Christian Binner | Elsassisch is Bombisch! Rosé,Fyxx | Les Caves de Pyrene,description,"2022,2023",75cl,"… in Alsace — given 6 months of maceration in 2022 then 8 more days in 2023, producing a wine o…",https://admin.shopify.com/store/drynksapp/products/9649394090231
2018-camille-malbec,Château du Cèdre l Camille Malbec,Fyxx | Les Caves de Pyrene,description,"1950,1970,1988,2000,2012",75cl,"…dded in vinification Certified organic since 2012 Food Pairing Great with grilled meats, pizza…",https://admin.shopify.com/store/drynksapp/products/6822018285721
2019-extra-libre-cahors,Château du Cèdre l Extra Libre Cahors Malbec,Fyxx | Les Caves de Pyrene,description,"1950,1970,1988,2000,2012",75cl,"…hs aged in oak casks Certified organic since 2012 Food Pairing Made for grilled meats, slow-co…",https://admin.shopify.com/store/drynksapp/products/6822018646169
terre-rouge-vdf-malbec,Château du Cèdre l Terre Rouge Malbec,Fyxx | Les Caves de Pyrene,description,2012,75cl,"…f south-west France, certified organic since 2012. Brothers Pascal and Jean-Marc Verhaeghe, no…",https://admin.shopify.com/store/drynksapp/products/7150865481881
gravillas-a-fleur-de-peau-muscat,Clos du Gravillas | A Fleur de Peau - Muscat,Fyxx | Les Caves de Pyrene,description,1996,75cl,…hectare estate in Saint-Jean-de-Minervois in 1996. Perched on a limestone and gravel plateau a…,https://admin.shopify.com/store/drynksapp/products/7148323176601
gravillas-muscat-st-jean,Clos du Gravillas | Douce Providence,Fyxx | Les Caves de Pyrene,description,1996,50cl,…hectare estate in Saint-Jean-de-Minervois in 1996. Perched on a limestone and gravel plateau a…,https://admin.shopify.com/store/drynksapp/products/7148321800345
clos-du-gravillas-happy,Clos du Gravillas | Happy,Fyxx | Les Caves de Pyrene,description,1996,75cl,"…f Nicole and John Bojanowski, established in 1996 in Saint-Jean-de-Minervois, Languedoc, at 30…",https://admin.shopify.com/store/drynksapp/products/9659178352887
gravillas-lo-vielh-igp-rouge,Clos du Gravillas | Lo Vièlh Carignan,Fyxx | Les Caves de Pyrene,description,"1911,1996",75cl,…ingle-variety Carignan from vines planted in 1911 that the Bojanowskis saved from being uproot…,https://admin.shopify.com/store/drynksapp/products/7148310266009
2019-gravillas-sous-les-cailloux-des-grillons,Clos du Gravillas | Sous les Cailloux des Grillons,Fyxx | Les Caves de Pyrene,description,1996,75cl,"…y soils Winemaking: Organically farmed since 1996, low yields, minimal intervention Food Pairi…",https://admin.shopify.com/store/drynksapp/products/6822020939929
2018-gravillas-rendez-vous-sur-la-lune,Clos du Gravillas | Sur La Lune,Fyxx | Les Caves de Pyrene,description,1996,75cl,"…aracter Winemaking: Organically farmed since 1996, old vine parcels on limestone and clay soil…",https://admin.shopify.com/store/drynksapp/products/6822020776089
princic-vino-bianco-favola,Dario Prinčič | Bianco Favola,Fyxx | Les Caves de Pyrene,description,"1988,1993",75cl,"…ine, 5 to 7 days skin contact, organic since 1988, unfiltered, low sulphur Winemaking: Old vin…",https://admin.shopify.com/store/drynksapp/products/7146957111449
princic-vino-bianco-jakot,Dario Prinčič | Bianco Jakot,Fyxx | Les Caves de Pyrene,description,"1988,1993",75cl,"…ge wine, 20 days skin contact, organic since 1988, aged 2 years in old barriques, unfiltered W…",https://admin.shopify.com/store/drynksapp/products/7148296274073
princic-bianco-sivi,Dario Prinčič | Bianco Sivi,Fyxx | Les Caves de Pyrene,description,"1988,1993",75cl,"…ed skin maceration (20+ days), organic since 1988, aged in old local wood, unfiltered Winemaki…",https://admin.shopify.com/store/drynksapp/products/7148293849241
dario-princic-bianco-trebez,Dario Prinčič | Bianco Trebež,Fyxx | Les Caves de Pyrene,description,1993,75cl,…clay-limestone ponca soils organically since 1993. His extended skin macerations lasting 8 to …,https://admin.shopify.com/store/drynksapp/products/8066342813943
princic-vino-bianco-ribolla-gialla,Dario Prinčič | Bianco ribolla gialla,Fyxx | Les Caves de Pyrene,description,"1988,1993",75cl,"…ge wine, 21 days skin contact, organic since 1988, aged in old local wood, unfiltered Winemaki…",https://admin.shopify.com/store/drynksapp/products/7148295291033
